Date,normalized_gdp
1988-01-01,-0.28855196097908015
1988-04-01,-0.2729263145703255
1988-07-01,-0.26049707880705647
1988-10-01,-0.24487009302656684
1989-01-01,-0.22990341751141327
1989-04-01,-0.21634763618186809
1989-07-01,-0.20524397662469038
1989-10-01,-0.19829638756109813
1990-01-01,-0.18149209402557737
1990-04-01,-0.16979576247567918
1990-07-01,-0.1624174314621234
1990-10-01,-0.16380810113453387
1991-01-01,-0.15973038388744368
1991-04-01,-0.14745048807262276
1991-07-01,-0.13685940607841485
1991-10-01,-0.12901028590002006
1992-01-01,-0.1158091702058927
1992-04-01,-0.10138936017012384
1992-07-01,-0.08854773184966017
1992-10-01,-0.07325719624899284
1993-01-01,-0.06674034913536424
1993-04-01,-0.0560950225858903
1993-07-01,-0.046296312910085624
1993-10-01,-0.0286648233910526
1994-01-01,-0.015014750291366159
1994-04-01,0.00256838790803465
1994-07-01,0.013838397434694595
1994-10-01,0.030475135566171648
1995-01-01,0.039449060127587116
1995-04-01,0.04731224370919907
1995-07-01,0.06099097936401368
1995-10-01,0.07297313284215265
1996-01-01,0.0858152969113103
1996-04-01,0.10783081799321925
1996-07-01,0.12103273731038763
1996-10-01,0.13822531471187377
1997-01-01,0.1520053068698515
1997-04-01,0.17292227525474502
1997-07-01,0.19220896036384336
1997-10-01,0.20601573995652017
1998-01-01,0.21948620330654836
1998-04-01,0.23331106441764743
1998-07-01,0.2535888846106172
1998-10-01,0.27674581828506034
1999-01-01,0.2925090181709956
1999-04-01,0.3078485747771623
1999-07-01,0.3293342404007206
1999-10-01,0.35793558624060856
2000-01-01,0.3715985173089507
2000-04-01,0.40448558482636837
2000-07-01,0.41392078901330476
2000-10-01,0.4296689879358084
2001-01-01,0.4342880792381699
2001-04-01,0.45153503513209553
2001-07-01,0.4514037767020693
2001-10-01,0.4597674835010363
2002-01-01,0.4762464436421349
2002-04-01,0.49017055219879435
2002-07-01,0.5031062044150526
2002-10-01,0.5134720040834401
2003-01-01,0.528566187787762
2003-04-01,0.5471348357097473
2003-07-01,0.5811418858719399
2003-10-01,0.6086746809416758
2004-01-01,0.6289277227575488
2004-04-01,0.6542911374281676
2004-07-01,0.6800729718287881
2004-10-01,0.7097945681877978
2005-01-01,0.7419491333033652
2005-04-01,0.762758951949462
2005-07-01,0.7922232549981855
2005-10-01,0.8165411560924932
2006-01-01,0.8533679855683002
2006-04-01,0.8740296697005102
2006-07-01,0.8896687098266144
2006-10-01,0.912353916776004
2007-01-01,0.9359390475941143
2007-04-01,0.9609090887861748
2007-07-01,0.9826115986936231
2007-10-01,1.0028282095983054
2008-01-01,1.0016870648801182
2008-04-01,1.0230049072252854
2008-07-01,1.0274647472283602
2008-10-01,0.9885171565474153
2009-01-01,0.9647691581263337
2009-04-01,0.9581170344674741
2009-07-01,0.9671773485057944
2009-10-01,0.9942818124946895
2010-01-01,1.0094650644193865
2010-04-01,1.0383396420932065
2010-07-01,1.059958977015914
2010-10-01,1.0824426085191918
2011-01-01,1.0880644874395191
2011-04-01,1.1156677334625138
2011-07-01,1.1277409642186302
2011-10-01,1.1538023255003373
2012-01-01,1.1841452564071957
2012-04-01,1.2026701068734482
2012-07-01,1.217728127540926
2012-10-01,1.2312394417288706
2013-01-01,1.2617463117360879
2013-04-01,1.2725279863281813
2013-07-01,1.3026840748780124
2013-10-01,1.3345853647984984
2014-01-01,1.3353513514937232
2014-04-01,1.3783143786360827
2014-07-01,1.416582907847402
2014-10-01,1.4310281659461352
2015-01-01,1.4513129508721265
2015-04-01,1.4802775343265364
2015-07-01,1.4965967074196542
2015-10-01,1.5010850760406833
2016-01-01,1.51324603564544
2016-04-01,1.538127410428646
2016-07-01,1.5623616007895182
2016-10-01,1.5887124003031508
2017-01-01,1.6142548889747335
2017-04-01,1.6354918332671096
2017-07-01,1.6695054463508034
2017-10-01,1.715645865060012
2018-01-01,1.7546838633330668
2018-04-01,1.7884841144993815
2018-07-01,1.8176580417559653
2018-10-01,1.833614914794776
2019-01-01,1.85856285635321
2019-04-01,1.896151252597516
2019-07-01,1.9376057453547881
2019-10-01,1.9654791426567246
2020-01-01,1.9392439309238194
2020-04-01,1.6990450220910318
2020-07-01,1.931358647708581
2020-10-01,1.9818344787866864
2021-01-01,2.0589398326364696
2021-04-01,2.151648063575513
2021-07-01,2.223520224182455
2021-10-01,2.3341027727360797
2022-01-01,2.3842639853936434
2022-04-01,2.453262657880398
2022-07-01,2.5135834069591647
2022-10-01,2.569002055487972
2023-01-01,2.6232728624399173
2023-04-01,2.656678266818765
2023-07-01,2.729957437433284
2023-10-01,2.776416224803893
2024-01-01,2.8202806491238817
